Age (bin);Age;Cabin;Min(0);Class;AgeGroup;SurvivedCat;AgeSexShapeName;AgeGroupSize;EmbarkedIcon;PassCountLabel;AgeSexClass;Percent survived;Title;TitleFull;FamilySize;PointNew;MapPlaceLabel;EmbarkedIcon2;Embarked (titatic-ports.csv);EmbarkedName;Embarked;FamilySize (bin);Fare (bin);Fare;Name;Number of Records;Parch;PassengerId;Pclass;Point;Sex;SibSp;Survived;Ticket;Timestamp;city;country;lat;lon
;;;0;Unknown;Unknown;Survived;;4;0;;;;;;;1;Pier 54, New York, United States;2;N;Pier 54, New York;;;;;;1;;;;5;;;;;;New York;United States;40,7414763;-74,0108465
20;22;;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 151.55000000000001";Adult female First;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;140;151,55;Cleaver, Miss. Alice;1;0;709;1;1;female;0;1;113781;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;35;;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 52";Adult female First;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;40;52;Holverson, Mrs. Alexander Oskar (Mary Aline Towner);1;0;384;1;1;female;1;1;113789;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;27;;0;Second;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 21";Adult female Second;0;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;21;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);1;0;42;2;1;female;1;0;11668;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;26;;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 78.849999999999994";Adult female First;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;60;78,85;"Barber, Miss. Ellen ""Nellie""";1;0;291;1;1;female;0;1;19877;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;28;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult female Second;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;26;Clarke, Mrs. Charles V (Ada Maria Winfield);1;0;427;2;1;female;1;1;2003;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;24;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 65";Adult female Second;100;Miss;Miss;4;1;Southampton, United Kingdom;3;S;Southampton;S;4;60;65;Herman, Miss. Alice;1;2;616;2;1;female;1;1;220845;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
45;48;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 65";Adult female Second;100;Mrs;Mrs;4;1;Southampton, United Kingdom;3;S;Southampton;S;4;60;65;Herman, Mrs. Samuel (Jane Laver);1;2;755;2;1;female;1;1;220845;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
45;45;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13.5";Adult female Second;100;Mrs;Mrs;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13,5;"Kelly, Mrs. Florence ""Fannie""";1;0;707;2;1;female;0;1;223596;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;36;;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult female Second;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;26;"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)";1;0;519;2;1;female;1;1;226875;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
